"era-0","100.81528","0.100815274","0.60970914","0.15242729"
"era-1","99.68933","0.099689335","0.6097469","0.15243672"
"era-2","99.68764","0.099687636","0.6097729","0.15244323"
"era-3","99.685875","0.09968588","0.60979736","0.15244934"
"era-4","99.68387","0.099683866","0.6098195","0.15245487"
"era-5","99.68141","0.099681415","0.6098383","0.15245958"
"era-6","99.67852","0.099678524","0.60985243","0.15246311"
"era-7","99.675064","0.09967507","0.6098601","0.15246503"
"era-8","99.670746","0.099670745","0.60985935","0.15246484"
"era-9","99.66546","0.099665456","0.6098473","0.15246183"
"era-10","99.65894","0.09965894","0.6098204","0.1524551"
"era-11","99.650826","0.09965082","0.60977393","0.15244348"
"era-12","99.64068","0.099640675","0.6097015","0.15242538"
"era-13","99.62791","0.099627905","0.60959494","0.15239874"
"era-14","99.6118","0.099611804","0.60944235","0.15236059"
"era-15","99.59127","0.09959127","0.6092275","0.15230687"
"era-16","99.56474","0.099564746","0.6089279","0.15223198"
"era-17","99.530525","0.099530526","0.6085108","0.1521277"
"era-18","99.4855","0.099485494","0.6079291","0.15198228"
"era-19","99.42575","0.09942575","0.60711294","0.15177824"
"era-20","99.345","0.099345","0.6059583","0.15148957"
"era-21","99.2343","0.0992343","0.60430706","0.15107676"
"era-22","99.07994","0.099079944","0.6019184","0.1504796"
"era-23","98.8604","0.0988604","0.59842414","0.14960603"
"era-24","98.542786","0.09854279","0.5932691","0.14831728"
"era-25","98.07657","0.09807657","0.58564794","0.14641199"
"era-26","97.38672","0.09738672","0.5744939","0.14362347"
"era-27","96.37034","0.09637034","0.55866766","0.13966691"
"era-28","94.909195","0.0949092","0.53757393","0.13439348"
"era-29","92.919365","0.092919365","0.512174","0.1280435"
"era-30","90.43145","0.09043145","0.4854575","0.12136438"
"era-31","87.63587","0.087635875","0.46113986","0.115284964"
"era-32","84.81172","0.084811725","0.4414769","0.11036923"
"era-33","82.188774","0.08218878","0.42654917","0.10663729"
"era-34","79.873795","0.07987379","0.41517448","0.10379362"
"era-35","77.87003","0.07787003","0.40593964","0.10148491"
"era-36","76.12668","0.07612668","0.39763144","0.09940786"
"era-37","74.57254","0.07457254","0.38920844","0.09730211"
"era-38","73.124344","0.07312434","0.37953058","0.094882645"
"era-39","71.673706","0.071673706","0.3668414","0.09171035"
"era-40","70.04039","0.07004039","0.34771848","0.08692962"
"era-41","67.86392","0.06786392","0.31520873","0.07880218"
"era-42","64.43934","0.06443934","0.25914735","0.06478684"
"era-43","58.87234","0.058872342","0.18084608","0.04521152"
"era-44","51.231953","0.051231954","0.10773384","0.02693346"
"era-45","43.303627","0.043303628","0.06039768","0.01509942"
"era-46","36.77795","0.03677795","0.034700565","0.008675141"
"era-47","31.953196","0.031953197","0.021120984","0.005280246"
"era-48","28.439085","0.028439086","0.013669076","0.003417269"
"era-49","25.81822","0.02581822","0.009344316","0.002336079"
"era-50","23.798437","0.023798438","0.006688707","0.0016721768"
"era-51","22.19287","0.02219287","0.0049728","0.0012432"
"era-52","20.882208","0.020882208","0.0038138414","9.5346035E-4"
"era-53","19.788376","0.019788375","0.0030008322","7.5020804E-4"
"era-54","18.85864","0.018858641","0.0024118365","6.0295913E-4"
"era-55","18.05623","0.01805623","0.001973259","4.9331476E-4"
"era-56","17.354822","0.017354822","0.0016389517","4.0973793E-4"
"era-57","16.734951","0.01673495","0.0013789183","3.4472957E-4"
"era-58","16.182028","0.016182028","0.0011731149","2.9327872E-4"
"era-59","15.684788","0.015684787","0.0010077454","2.5193635E-4"
"era-60","15.234501","0.015234501","8.7308465E-4","2.1827116E-4"
"era-61","14.824175","0.014824175","7.621478E-4","1.9053696E-4"
"era-62","14.448196","0.014448197","6.6979154E-4","1.6744788E-4"
"era-63","14.102015","0.014102015","5.9218996E-4","1.4804749E-4"
"era-64","13.781833","0.0137818325","5.2644114E-4","1.3161029E-4"
"era-65","13.484519","0.013484519","4.703073E-4","1.1757683E-4"
"era-66","13.207447","0.013207447","4.2205714E-4","1.05514286E-4"
"era-67","12.94839","0.01294839","3.803216E-4","9.50804E-5"
"era-68","12.7054615","0.012705461","3.440157E-4","8.600392E-5"
"era-69","12.476971","0.01247697","3.1226434E-4","7.8066085E-5"
"era-70","12.261597","0.0122615965","2.843664E-4","7.10916E-5"
"era-71","12.058044","0.012058045","2.597415E-4","6.4935375E-5"
"era-72","11.865301","0.011865301","2.379198E-4","5.947995E-5"
"era-73","11.682375","0.011682375","2.1850258E-4","5.4625645E-5"
"era-74","11.508485","0.011508485","2.0116383E-4","5.0290957E-5"
"era-75","11.342875","0.011342875","1.8562941E-4","4.6407353E-5"
"era-76","11.1848955","0.011184895","1.7166816E-4","4.291704E-5"
"era-77","11.033983","0.011033983","1.5908296E-4","3.977074E-5"
"era-78","10.889589","0.010889589","1.4770548E-4","3.692637E-5"
"era-79","10.751244","0.010751244","1.3739409E-4","3.4348523E-5"
"era-80","10.618541","0.01061854","1.280239E-4","3.2005973E-5"
"era-81","10.491084","0.010491084","1.19489836E-4","2.9872459E-5"
"era-82","10.3685255","0.010368525","1.1169971E-4","2.7924927E-5"
"era-83","10.250553","0.0102505535","1.0457255E-4","2.6143138E-5"
"era-84","10.136885","0.010136885","9.804127E-5","2.4510318E-5"
"era-85","10.027258","0.010027258","9.204198E-5","2.3010494E-5"
